Step,Time_s,Height_m,Velocity_m/s,Potential_Energy_J,Kinetic_Energy_J,Total_Energy_J,Energy_Error_J
18600,    0.186000,   99.830355,   -1.824037,512603.91092073,   871.03552151,513474.94644224,   0.0468298661
18700,    0.187000,   99.828526,   -1.833844,512594.51951826,   880.42667221,513474.94619047,   0.0470816396
18800,    0.188000,   99.826688,   -1.843650,512585.07776109,   889.86817760,513474.94593869,   0.0473334130
18900,    0.189000,   99.824839,   -1.853457,512575.58564923,   899.36003769,513474.94568692,   0.0475851865
19000,    0.190000,   99.822981,   -1.863264,512566.04318267,   908.90225247,513474.94543515,   0.0478369601
19100,    0.191000,   99.821112,   -1.873070,512556.45036142,   918.49482195,513474.94518337,   0.0480887335
19200,    0.192000,   99.819234,   -1.882877,512546.80718547,   928.13774612,513474.94493160,   0.0483405069
19300,    0.193000,   99.817347,   -1.892683,512537.11365483,   937.83102499,513474.94467983,   0.0485922804
19400,    0.194000,   99.815449,   -1.902490,512527.36976949,   947.57465856,513474.94442805,   0.0488440538
19500,    0.195000,   99.813542,   -1.912297,512517.57552946,   957.36864682,513474.94417628,   0.0490958273
19600,    0.196000,   99.811624,   -1.922103,512507.73093473,   967.21298978,513474.94392451,   0.0493476007
19700,    0.197000,   99.809697,   -1.931910,512497.83598530,   977.10768743,513474.94367273,   0.0495993743
19800,    0.198000,   99.807760,   -1.941717,512487.89068118,   987.05273978,513474.94342096,   0.0498511476
19900,    0.199000,   99.805814,   -1.951523,512477.89502237,   997.04814682,513474.94316918,   0.0501029211
20000,    0.200000,   99.803857,   -1.961330,512467.84900886,  1007.09390856,513474.94291741,   0.0503546947
20100,    0.201000,   99.801891,   -1.971137,512457.75264065,  1017.19002499,513474.94266564,   0.0506064681
20200,    0.202000,   99.799915,   -1.980943,512447.60591775,  1027.33649612,513474.94241386,   0.0508582416
20300,    0.203000,   99.797929,   -1.990750,512437.40884015,  1037.53332194,513474.94216209,   0.0511100151
20400,    0.204000,   99.795933,   -2.000557,512427.16140786,  1047.78050246,513474.94191032,   0.0513617886
20500,    0.205000,   99.793928,   -2.010363,512416.86362087,  1058.07803768,513474.94165854,   0.0516135619
20600,    0.206000,   99.791912,   -2.020170,512406.51547918,  1068.42592759,513474.94140677,   0.0518653354
20700,    0.207000,   99.789887,   -2.029977,512396.11698280,  1078.82417219,513474.94115500,   0.0521171089
20800,    0.208000,   99.787852,   -2.039783,512385.66813173,  1089.27277149,513474.94090322,   0.0523688823
